39.9771201	13.2029586	19.3940679	4.597479	-6.17511	43.6134596	41.9027008	39.9771201	38.4277735	-21.286278	-10.05082	24.4271453
116.367188	102.209022	109.643555	101.090106	106.86504	3.8864136	12.4962352	-74.553223	140.822754	55.519603	143.069406	101.403809
12.3791666	26.78333282	23.68333244	27.94166565	27.70416641	14.89166641	15.54166698	11.72500038	11.07916641	21.22916603	27.11666679	20.82083321
11.125	9.516666412	7.366666794	10.16666698	8.708333969	9.183333397	9.833333015	11.30000019	7.125	6.991666317	5.683333397	10.95833302
27.67412949	62.60964584	42.58189011	88.40579987	86.22112274	35.59431458	36.82896423	32.47126389	23.82943153	52.96717072	63.85768127	46.63120651
1110.64978	126.9096451	370.8548584	36.04501343	35.89492416	605.909668	625.1320801	868.8485107	850.3754883	232.4910431	106.1802368	450.7491455
31.29999924	34	31.60000038	33.79999924	33	29	30.29999924	29.5	26.79999924	27.89999962	31.79999924	30.5
-8.899999619	18.79999924	14.30000019	22.29999924	22.89999962	3.200000048	3.599999905	-5.300000191	-3.099999905	14.69999981	22.89999962	7
40.19999695	15.20000076	17.29999924	11.5	10.10000038	25.79999924	26.69999886	34.79999924	29.89999962	13.19999981	8.899999619	23.5
25.38333321	26.66666603	27	27.54999924	27.25	11.41666603	12.4333334	21.81666756	21.61666679	24.03333282	27.93333435	25.36666679
-1.933333278	25.5	18.56666756	28	27.73333359	22.68333244	23.48333359	0.9166666865	0.9333333969	19.08333397	25.63333321	16.63333321
25.38333321	28.26666641	27.54999924	28.41666603	28.01666641	22.68333244	23.48333359	22.35000038	21.61666679	24.03333282	28.11666679	25.36666679
-1.933333278	25.04999924	18.56666756	27.53333282	27.23333359	7.883333206	8.383333206	0.9166666865	0.9333333969	18.45000076	25.63333321	14.63333321
546	1730	1708	2592	1979	651	682	1161	1219	1373	1704	1009
194	312	300	315	389	97	93	118	176	210	356	207
3	4	18	154	64	20	15	77	53	49	11	14
136.6241608	77.38374329	76.43759918	27.95253944	60.13433456	35.14826202	41.4319191	11.13954163	42.4087944	52.91774368	95.02820587	84.32330322
418	770	827	883	905	220	258	323	486	607	1001	566
9	41	69	473	204	94	76	265	165	165	40	48
418	397	726	687	336	94	76	319	486	607	611	566
9	56	69	732	902	186	214	265	165	180	40	52
